item,takeoff_qty,app_qty,unit,status
Base,3541.01,3541.01,,PASS
CMU Wall,6916.47,6916.47,,PASS
Door Frame-HM,215.0,215.0,,PASS
Doors-HM,10.0,10.0,,PASS
Doors-WD,213.0,213.0,,PASS
Exposed Structure,3770.94,3770.94,,PASS
Guard Rail,188.58,188.57999999999998,,PASS
Guestroom-Wall Covering,27013.93,27013.929999999997,,PASS
Gyp Ceiling,58680.4,58680.4,,PASS
Gyp Soffit,260.07,260.07,,PASS
Gyp Wall,129521.23,129521.22999999998,,PASS
Hand Rail,64.61,64.61,,PASS
Lift,1.0,1.0,,PASS
Lintels,1530.39,1530.39,,PASS
Mobilization,1.0,1.0,,PASS
Stairs,28.0,28.0,,PASS
WC-1,2880.64,2880.6400000000003,,PASS
WC-10,148.77,148.77,,PASS
WC-2,649.47,649.47,,PASS
WC-4,169.28,169.28,,PASS
WC-6,1136.62,1136.62,,PASS
WC-7,1571.0,1571.0,,PASS
WC-8,352.43,352.43,,PASS
WC-9,523.84,523.84,,PASS
